Date,price,returns,short_returns_value,short_volatility_value,short_momentum_value,short_fragility_value,short_returns_pctile,short_volatility_pctile,short_momentum_pctile,short_fragility_pctile,short_avg_percentile,short_indicator,mid_returns_value,mid_volatility_value,mid_momentum_value,mid_fragility_value,mid_returns_pctile,mid_volatility_pctile,mid_momentum_pctile,mid_fragility_pctile,mid_avg_percentile,mid_indicator,long_returns_value,long_volatility_value,long_momentum_value,long_fragility_value,long_returns_pctile,long_volatility_pctile,long_momentum_pctile,long_fragility_pctile,long_avg_percentile,long_indicator,composite_bri
2025-09-17 00:00:00-04:00,46018.3203125,0.005675164601634725,0.08624500780664429,0.0065199947257003985,0.09007337207586197,-0.2731988218731034,88.09523809523809,0.3968253968253968,88.09523809523809,3.968253968253968,45.138888888888886,0.22569444444444442,0.10138883121882183,0.012625465687175477,0.10670688029806064,12.90375454824704,80.95238095238095,77.24867724867724,80.95238095238095,99.47089947089947,84.65608465608466,0.4232804232804233,0.10590892666886695,0.010642518430997653,0.11172062379539205,13.374052905568242,52.61904761904762,58.65079365079365,52.61904761904762,99.04761904761905,65.73412698412699,0.3286706349206349,0.32588183421516753
2025-09-18 00:00:00-04:00,46142.421875,0.002693156208692406,0.08998430590739723,0.0065146724097116665,0.09415711176742758,-0.27554800383572586,90.87301587301587,0.3968253968253968,90.87301587301587,3.968253968253968,46.52777777777778,0.2326388888888889,0.09490564651221294,0.012604267829914246,0.0995551033724924,13.020646796816683,77.5132275132275,77.24867724867724,77.5132275132275,99.73544973544973,83.00264550264549,0.41501322751322745,0.1031019904317013,0.010638648816160792,0.10860447035884269,13.400370670952528,51.11111111111111,58.57142857142858,51.11111111111111,99.20634920634922,65.0,0.325,0.32421737213403873
2025-09-19 00:00:00-04:00,46315.26953125,0.0037389611396535737,0.09288987545029091,0.006520674828362029,0.09734088444310607,-0.29398024014821245,92.06349206349206,1.1904761904761905,92.06349206349206,3.571428571428571,47.22222222222222,0.2361111111111111,0.09891412314703127,0.012606724264475953,0.10397148989064298,13.001453853817319,78.96825396825396,77.38095238095238,78.96825396825396,99.60317460317461,83.73015873015873,0.41865079365079366,0.10722299579794894,0.010640594933256423,0.1131824618150361,13.384529865014615,53.17460317460318,58.65079365079365,53.17460317460318,99.04761904761905,66.01190476190476,0.3300595238095238,0.3282738095238095
2025-09-22 00:00:00-04:00,46381.5390625,0.0014298128176204342,0.08547502342003609,0.006452055846955675,0.08923435565533078,-0.17969444071758234,86.5079365079365,0.3968253968253968,86.5079365079365,6.746031746031746,45.03968253968254,0.22519841269841268,0.09958072990386223,0.012606854904639662,0.10470765008257166,12.999684733899112,79.4973544973545,77.5132275132275,79.4973544973545,99.47089947089947,83.99470899470899,0.41997354497354494,0.11113335414078326,0.010639191315281859,0.1175439260281188,13.389537892312198,54.285714285714285,58.65079365079365,54.285714285714285,99.04761904761905,66.56746031746032,0.33283730158730157,0.3260030864197531
2025-09-23 00:00:00-04:00,46292.78125,-0.0019154786210211923,0.0717178390149382,0.006322984803163783,0.0743521610285538,-0.0195053971797577,76.19047619047619,0.3968253968253968,76.19047619047619,7.142857142857142,39.98015873015873,0.19990079365079363,0.08352340176690602,0.01255184786457382,0.08711065530536177,13.299811234291742,70.8994708994709,76.71957671957672,70.8994708994709,99.86772486772487,79.59656084656085,0.39798280423280424,0.09671680254465487,0.010612811431956646,0.10154837374792591,13.560210355982196,48.333333333333336,58.41269841269842,48.333333333333336,99.20634920634922,63.57142857142858,0.3178571428571429,0.3052469135802469
2025-09-24 00:00:00-04:00,46121.28125,-0.003711560605344252,0.0704830555338654,0.006336271469465993,0.07302638741738776,-0.036924909857429196,74.60317460317461,0.7936507936507936,74.60317460317461,7.142857142857142,39.285714285714285,0.19642857142857142,0.07971369281713994,0.01255780625832484,0.08297695920164361,13.275520210514813,69.31216931216932,77.11640211640211,69.31216931216932,99.73544973544973,78.86904761904762,0.3943452380952381,0.09209743770159699,0.010615891658349572,0.09647165455386308,13.545454957698384,46.904761904761905,58.492063492063494,46.904761904761905,99.12698412698413,62.857142857142854,0.3142857142857143,0.3016865079365079
2025-09-25 00:00:00-04:00,45947.3203125,-0.0037789461676936303,0.05733936392018672,0.006276487629690292,0.05901514094990823,0.08886436045787958,56.74603174603175,0.3968253968253968,56.74603174603175,8.73015873015873,30.654761904761905,0.15327380952380953,0.0790558066936022,0.012559516123532002,0.08226471800056423,13.267832655778813,68.91534391534393,77.24867724867724,68.91534391534393,99.60317460317461,78.67063492063492,0.39335317460317465,0.0868624866961603,0.010618870711072075,0.09074667722560736,13.531981462097509,44.920634920634924,58.57142857142858,44.920634920634924,99.04761904761905,61.86507936507937,0.30932539682539684,0.28531746031746036
2025-09-26 00:00:00-04:00,46247.2890625,0.006507317739119829,0.05392918310423309,0.006211926313705827,0.05540985865860781,0.17387152384135582,55.55555555555556,0.3968253968253968,55.55555555555556,11.11111111111111,30.654761904761905,0.15327380952380953,0.0892228720165485,0.012564411172825734,0.09332430056618857,13.225094148881041,74.07407407407408,77.38095238095238,74.07407407407408,99.47089947089947,81.25,0.40625,0.09138788818738386,0.010625474986705519,0.09569392957384637,13.486940299794831,46.82539682539682,58.730158730158735,46.82539682539682,98.96825396825398,62.83730158730159,0.31418650793650793,0.2912367724867725
2025-09-29 00:00:00-04:00,46316.0703125,0.001486144477118177,0.04914782116762688,0.006173836247832945,0.050375607013338985,0.2689509093219773,51.587301587301596,0.3968253968253968,51.587301587301596,13.88888888888889,29.365079365079367,0.14682539682539683,0.10777595630223116,0.01246273622554805,0.11379817796814762,13.695862849828043,83.994708994709,76.32275132275133,83.994708994709,99.86772486772487,86.04497354497354,0.43022486772486773,0.09985119823260283,0.010615553780124402,0.10500647892448356,13.539781452359227,49.28571428571429,58.492063492063494,49.28571428571429,99.04761904761905,64.02777777777779,0.3201388888888889,0.2990630511463845
2025-09-30 00:00:00-04:00,46397.890625,0.0017650056779693665,0.04187849108422557,0.006084362493246447,0.04276776547193517,0.45172078952660405,49.2063492063492,0.3968253968253968,49.2063492063492,19.841269841269842,29.66269841269841,0.14831349206349206,0.0995424344425422,0.012435969210686468,0.10466534560352803,13.85269693347236,79.23280423280423,76.32275132275133,79.23280423280423,99.86772486772487,83.66402116402116,0.4183201058201058,0.09542377574107357,0.010609584742013843,0.1001249626279126,13.580971928249898,47.6984126984127,58.333333333333336,47.6984126984127,99.20634920634922,63.23412698412699,0.31617063492063496,0.294268077601411
