Date,short_mean_raw,short_variance_raw,short_skewness_raw,short_kurtosis_raw,short_mean_norm,short_variance_norm,short_skewness_norm,short_kurtosis_norm,short_bri,short_risk_level,mid_mean_raw,mid_variance_raw,mid_skewness_raw,mid_kurtosis_raw,mid_mean_norm,mid_variance_norm,mid_skewness_norm,mid_kurtosis_norm,mid_bri,mid_risk_level,long_mean_raw,long_variance_raw,long_skewness_raw,long_kurtosis_raw,long_mean_norm,long_variance_norm,long_skewness_norm,long_kurtosis_norm,long_bri,long_risk_level,composite_bri,composite_risk_level,price,returns
1993-09-06 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5159.83984375,-0.0026304044782633185
1993-09-07 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5197.580078125,0.007287606699164713
1993-09-08 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5209.169921875,0.0022273713775408433
1993-09-09 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5068.2998046875,-0.02741510193600061
1993-09-10 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5107.2998046875,0.007665433480737552
1993-09-13 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5012.68017578125,-0.01870011332058996
1993-09-14 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5084.10986328125,0.014149225428757442
1993-09-15 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5071.72998046875,-0.0024379842799601916
1993-09-16 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5035.39013671875,-0.007190970310657436
1993-09-20 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5084.72021484375,0.009748998205968364
1993-09-21 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5358.5498046875,0.052453373324312276
1993-09-22 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5323.58984375,-0.006545521198235752
1993-09-23 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5507.8798828125,0.03403191441049599
