Date,short_mean_raw,short_variance_raw,short_skewness_raw,short_kurtosis_raw,short_mean_norm,short_variance_norm,short_skewness_norm,short_kurtosis_norm,short_bri,short_risk_level,mid_mean_raw,mid_variance_raw,mid_skewness_raw,mid_kurtosis_raw,mid_mean_norm,mid_variance_norm,mid_skewness_norm,mid_kurtosis_norm,mid_bri,mid_risk_level,long_mean_raw,long_variance_raw,long_skewness_raw,long_kurtosis_raw,long_mean_norm,long_variance_norm,long_skewness_norm,long_kurtosis_norm,long_bri,long_risk_level,composite_bri,composite_risk_level,price,returns
2001-04-03 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,21.61134147644043,-0.05618178706378738
2001-04-04 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,21.61134147644043,0.0
2001-04-05 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,23.33485221862793,0.07672980110302123
2001-04-06 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,23.08506774902344,-0.010762055628216109
2001-04-09 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,23.739511489868164,0.02795482073943613
2001-04-10 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,25.002416610717773,0.05183167316727663
2001-04-11 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,24.682689666748047,-0.012870309891238805
2001-04-12 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,25.977569580078125,0.0511312824818713
2001-04-16 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,25.577917098999023,-0.015504091315639353
2001-04-17 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,26.24933624267578,0.02591133682443306
2001-04-18 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,28.295568466186523,0.07506449836203148
2001-04-19 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,28.295568466186523,0.0
2001-04-20 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,27.59218406677246,-0.02517265445478831
2001-04-23 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,26.84082794189453,-0.02760838769065669
2001-04-24 00:00:00-04:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,25.593902587890625,-0.04757001598562442
2001-04-25 00:00:00-04:00,-0.004282529736158174,0.001515121684377259,0.09113157003679982,-0.35737215771203223,-2.511815539165928,5.148670187524652,0.4721280249010396,-0.7523671071120014,0.5891538915369405,0,,,,,,,,,,0,,,,,,,,,,0,,0,26.712940216064453,0.04279395733167966
2001-04-26 00:00:00-04:00,-0.00409323745666534,0.0014866466606105687,0.0768093347407193,-0.31134763520119507,-2.407541733777326,5.031182253153394,0.4390775340672224,-0.7157672796563469,0.5867376934467358,0,,,,,,,,,,0,,,,,,,,,,0,,0,26.8568115234375,0.005371376517976343
2001-04-27 00:00:00-04:00,-0.003251473923527046,0.001494342150066309,0.03631892275149294,-0.36980305865253005,-1.9438467163531898,5.0629338389479726,0.345640443931325,-0.7622524639765603,0.6756187756373868,0,,,,,,,,,,0,,,,,,,,,,0,,0,27.943872451782227,0.03967846626652594
2001-04-30 00:00:00-04:00,-0.0023767706029166596,0.0015061554136781747,-0.0010387357776668333,-0.42887985362026754,-1.4620064423046968,5.111675358930998,0.25943260519202166,-0.8092317781442009,0.7749674359185306,0,,,,,,,,,,0,,,,,,,,,,0,,0,29.17481231689453,0.04310780206882341
2001-05-01 00:00:00-04:00,-0.0021932525885137418,0.0014795560455319627,-0.015574651331780712,-0.3850999739853994,-1.3609134565240648,5.001926378748062,0.22588901832511307,-0.7744169456755273,0.7731212487183958,0,,,,,,,,,,0,,,,,,,,,,0,,0,29.395421981811523,0.007533202174840912
2001-05-02 00:00:00-04:00,-0.0021454656276938865,0.0014522824571529347,-0.01960540874925084,-0.3353349086523618,-1.3345894655721204,4.889395566208678,0.21658750160475207,-0.7348425469605885,0.7591377638201802,0,,,,,,,,,,0,,,,,,,,,,0,,0,29.408212661743164,0.00043503025657829744
2001-05-03 00:00:00-04:00,-0.002907203453142168,0.0014583710143925817,0.01667011499881203,-0.382114694079093,-1.754201411609981,4.91451695045223,0.3002981682948442,-0.7720429779835883,0.6721426822883761,0,,,,,,,,,,0,,,,,,,,,,0,,0,28.119722366333008,-0.044802783852797665
2001-05-04 00:00:00-04:00,-0.002219596112496462,0.001459278494579719,-0.019635398989829196,-0.41608455706345127,-1.3754250863717479,4.918261213268064,0.21651829507722004,-0.7990566449613824,0.7400744442530385,0,,,,,,,,,,0,,,,,,,,,,0,,0,29.158824920654297,0.0362864149636631
2001-05-07 00:00:00-04:00,-0.0020588768635667336,0.0014351752967464682,-0.03267776959259996,-0.3744341142967653,-1.2868910598916283,4.818811430596308,0.18642126475011134,-0.765935192840866,0.7381016106534812,0,,,,,,,,,,0,,,,,,,,,,0,,0,29.36665153503418,0.007102120325427783
2001-05-08 00:00:00-04:00,-0.0019319717547346517,0.001411381084570639,-0.04325824297760974,-0.33091415784952577,-1.2169839371255529,4.720636522598522,0.16200539450362753,-0.7313270576565951,0.7335827305800002,0,,,,,,,,,,0,,,,,,,,,,0,,0,29.52650260925293,0.005428524557526093
2001-05-09 00:00:00-04:00,-0.0018817301249155443,0.0013876108245548444,-0.04777339817222145,-0.2846681263335775,-1.1893077638331175,4.6225604412015215,0.15158606453956705,-0.6945510808152512,0.72257191527318,0,,,,,,,,,,0,,,,,,,,,,0,,0,29.558483123779297,0.0010825260344117947
2001-05-10 00:00:00-04:00,-0.0022003630029432046,0.001370677119047502,-0.023621549106955346,-0.2644243916300913,-1.3648303091946365,4.552691980419545,0.20731971572247704,-0.6784527672036069,0.6791821549359446,0,,,,,,,,,,0,,,,,,,,,,0,,0,28.935014724731445,-0.021318335684602823
2001-05-11 00:00:00-04:00,-0.00225422599260714,0.0013483868780844485,-0.019265333573130768,-0.21930747448204477,-1.3945013497511431,4.460722456922598,0.217372270969227,-0.6425746897599843,0.6602546720951744,0,,,,,,,,,,0,,,,,,,,,,0,,0,28.775161743164062,-0.005539868362107202
2001-05-14 00:00:00-04:00,-0.002575159925177358,0.0013331276137431975,0.005135303750648137,-0.20093055712084587,-1.5712914571822938,4.397762739586883,0.27368003463441054,-0.627960915017871,0.6180476005052821,0,,,,,,,,,,0,,,,,,,,,,0,,0,28.13570785522461,-0.022473063744530876
2001-05-15 00:00:00-04:00,-0.001797141102196288,0.0013280881190392926,-0.05046377490164955,-0.1802800293506182,-1.1427109384545437,4.376969786861439,0.14537765715082573,-0.6115391095970637,0.6920243489901643,0,,,,,,,,,,0,,,,,,,,,,0,,0,28.679244995117188,0.01913417844051308
2001-05-16 00:00:00-04:00,-0.001004564133791004,0.0013422507545850146,-0.10187850162995542,-0.2235154783780483,-0.7061108997186314,4.435404814314034,0.026731236440078115,-0.6459209975134257,0.7775260383805138,0,,,,,,,,,,0,,,,,,,,,,0,,0,29.622426986694336,0.03235805266404034
2001-05-17 00:00:00-04:00,-0.00029715400713813497,0.0013903899093682603,-0.09912184217076324,-0.32604736699741843,-0.31642598454849213,4.634026943805559,0.033092600173078635,-0.7274568663817602,0.9058091732620961,0,,,,,,,,,,0,,,,,,,,,,0,,0,31.30097198486328,0.055117407979881475
2001-05-18 00:00:00-04:00,0.0002118618748266967,0.0013754318720140058,-0.13423903587423217,-0.26551108006620044,-0.03602879583104305,4.572310088873369,-0.047945063614187,-0.6793169284613426,0.9522548252416991,0,,,,,,,,,,0,,,,,,,,,,0,,0,31.34894561767578,0.001531483009872764
2001-05-21 00:00:00-04:00,0.0012309299415352274,0.0014124694374796985,-0.1718204629745699,-0.34224402570027374,0.5253364407777041,4.725127066178047,-0.1346692785306529,-0.7403368460435383,1.09386434559539,0,,,,,,,,,,0,,,,,,,,,,0,,0,32.97951126098633,0.050705863863820866
2001-05-22 00:00:00-04:00,0.0015115752464519127,0.0014107228270800627,-0.1947142660957568,-0.3296065361515557,0.679933099376319,4.717920552508878,-0.18749981891530018,-0.7302872048583027,1.1200166570278987,0,,,,,,,,,,0,,,,,,,,,,0,,0,33.21613311767578,0.007149197405410441
2001-05-23 00:00:00-04:00,0.0012892924241254926,0.0014313430184537384,-0.19958706336152213,-0.3679049785024156,0.5574860781951317,4.802999452202972,-0.19874445622490367,-0.7607430641566093,1.1002495025041477,0,,,,,,,,,,0,,,,,,,,,,0,,0,31.55675506591797,-0.051248022417695036
