Date,price,returns,short_returns_value,short_volatility_value,short_momentum_value,short_fragility_value,short_moving_avg_price,short_realized_vol,short_realized_mad,short_returns_pctile,short_volatility_pctile,short_momentum_pctile,short_fragility_pctile,short_avg_percentile,short_scaling_factor,short_indicator,mid_returns_value,mid_volatility_value,mid_momentum_value,mid_fragility_value,mid_moving_avg_price,mid_realized_vol,mid_realized_mad,mid_returns_pctile,mid_volatility_pctile,mid_momentum_pctile,mid_fragility_pctile,mid_avg_percentile,mid_scaling_factor,mid_indicator,long_returns_value,long_volatility_value,long_momentum_value,long_fragility_value,long_moving_avg_price,long_realized_vol,long_realized_mad,long_returns_pctile,long_volatility_pctile,long_momentum_pctile,long_fragility_pctile,long_avg_percentile,long_scaling_factor,long_indicator,composite_bri
1998-12-22 00:00:00-05:00,5.823330879211426,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1998-12-23 00:00:00-05:00,5.94456958770752,0.02060571443315785,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1998-12-24 00:00:00-05:00,5.913281440734863,-0.005277215831023701,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1998-12-28 00:00:00-05:00,5.881994247436523,-0.005305050513984012,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1998-12-29 00:00:00-05:00,5.940657138824463,0.009923894550442755,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1998-12-30 00:00:00-05:00,5.850710391998291,-0.015256668286485111,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1998-12-31 00:00:00-05:00,5.842885971069336,-0.0013382404956936115,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1999-01-04 00:00:00-05:00,5.83897590637207,-0.000669424940014772,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1999-01-05 00:00:00-05:00,5.807687759399414,-0.005372907321737605,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1999-01-06 00:00:00-05:00,5.999320030212402,0.03246361886461936,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
