Date,price,returns,short_returns_value,short_volatility_value,short_momentum_value,short_fragility_value,short_moving_avg_price,short_realized_vol,short_realized_mad,short_returns_pctile,short_volatility_pctile,short_momentum_pctile,short_fragility_pctile,short_avg_percentile,short_scaling_factor,short_indicator,mid_returns_value,mid_volatility_value,mid_momentum_value,mid_fragility_value,mid_moving_avg_price,mid_realized_vol,mid_realized_mad,mid_returns_pctile,mid_volatility_pctile,mid_momentum_pctile,mid_fragility_pctile,mid_avg_percentile,mid_scaling_factor,mid_indicator,long_returns_value,long_volatility_value,long_momentum_value,long_fragility_value,long_moving_avg_price,long_realized_vol,long_realized_mad,long_returns_pctile,long_volatility_pctile,long_momentum_pctile,long_fragility_pctile,long_avg_percentile,long_scaling_factor,long_indicator,composite_bri
1987-12-30 00:00:00+01:00,1005.1900024414062,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-04 00:00:00+01:00,956.489990234375,-0.04966153594701551,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-05 00:00:00+01:00,996.0999755859376,0.04057730580873282,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-06 00:00:00+01:00,1006.010009765625,0.00989967103394688,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-07 00:00:00+01:00,1014.469970703125,0.008374258056871095,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-08 00:00:00+01:00,1026.68994140625,0.01197369851115052,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-11 00:00:00+01:00,987.52001953125,-0.03889848773061663,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-12 00:00:00+01:00,986.8900146484376,-0.0006381702820462953,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-13 00:00:00+01:00,965.77001953125,-0.021632868382023454,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-14 00:00:00+01:00,974.4600219726562,0.008957763114360607,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-15 00:00:00+01:00,952.4600219726562,-0.02283535952534272,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-18 00:00:00+01:00,1003.1300048828124,0.05183226115944163,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-19 00:00:00+01:00,980.1799926757812,-0.023144174801432632,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-20 00:00:00+01:00,960.4400024414062,-0.020344705461236273,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-21 00:00:00+01:00,949.239990234375,-0.011729861198560631,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-22 00:00:00+01:00,966.47998046875,0.01799893086668264,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-25 00:00:00+01:00,962.6300048828124,-0.003991457953740645,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-26 00:00:00+01:00,968.260009765625,0.0058315292895317955,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-27 00:00:00+01:00,959.6699829101562,-0.008911198780190251,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-28 00:00:00+01:00,937.760009765625,-0.02309539441636765,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-01-29 00:00:00+01:00,936.0,-0.0018785866643055854,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-01 00:00:00+01:00,951.5,0.016424210258612078,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-02 00:00:00+01:00,955.6699829101562,0.004372960556910039,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-03 00:00:00+01:00,972.1900024414062,0.017138613827191073,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-04 00:00:00+01:00,990.219970703125,0.018375849956623315,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-05 00:00:00+01:00,979.3800048828124,-0.011007387697314009,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-08 00:00:00+01:00,986.9500122070312,0.007699668577821284,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-09 00:00:00+01:00,983.3099975585938,-0.0036949628696169206,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-10 00:00:00+01:00,997.1400146484376,0.01396676697012025,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-11 00:00:00+01:00,1024.68994140625,0.027254153564344352,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-12 00:00:00+01:00,1033.489990234375,0.008551344144823544,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-15 00:00:00+01:00,1049.3499755859375,0.015229486810432331,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-16 00:00:00+01:00,1055.77001953125,0.006099475435370968,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-17 00:00:00+01:00,1053.27001953125,-0.0023707479465751953,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-18 00:00:00+01:00,1051.93994140625,-0.0012636063163845152,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-19 00:00:00+01:00,1046.780029296875,-0.004917209135253624,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-22 00:00:00+01:00,1059.47998046875,0.012059389652043421,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-23 00:00:00+01:00,1069.030029296875,0.008973519380480958,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-24 00:00:00+01:00,1069.9000244140625,0.0008134863163527257,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-25 00:00:00+01:00,1091.5899658203125,0.020070108652025773,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-26 00:00:00+01:00,1079.4000244140625,-0.011229963812878673,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-02-29 00:00:00+01:00,1083.3399658203125,0.003643476129884136,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-01 00:00:00+01:00,1087.3199462890625,0.003667073691818892,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-02 00:00:00+01:00,1080.43994140625,-0.0063475922979950895,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-03 00:00:00+01:00,1082.239990234375,0.0016646469202016116,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-04 00:00:00+01:00,1075.1300048828125,-0.0065913692221787525,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-07 00:00:00+01:00,1077.3699951171875,0.002081292490564575,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-08 00:00:00+01:00,1079.4200439453125,0.0019010190221397775,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-09 00:00:00+01:00,1078.6199951171875,-0.0007414587776837447,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-10 00:00:00+01:00,1082.5400390625,0.0036277260197534636,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-11 00:00:00+01:00,1073.449951171875,-0.008432452650750925,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-14 00:00:00+01:00,1071.8900146484375,-0.0014542560370022174,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-15 00:00:00+01:00,1088.1300048828125,0.01503717196807642,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-16 00:00:00+01:00,1098.760009765625,0.009721649037703254,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-17 00:00:00+01:00,1104.27001953125,0.005002220743005589,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-18 00:00:00+01:00,1123.27001953125,0.017059590814528975,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-21 00:00:00+01:00,1111.6199951171875,-0.010425685257330177,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-22 00:00:00+01:00,1107.0999755859375,-0.004074444584300944,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-23 00:00:00+01:00,1116.1099853515625,0.008105450454458067,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-24 00:00:00+01:00,1100.449951171875,-0.014130269597986788,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-25 00:00:00+01:00,1065.7099609375,-0.032077935636909756,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-28 00:00:00+02:00,1037.260009765625,-0.027058576574064918,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-29 00:00:00+02:00,1062.3299560546875,0.023881937171640073,,,3.148909253781186,,1029.8993598090278,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-30 00:00:00+02:00,1066.5,0.003917691281112484,0.05920567813165288,0.27406269321441323,3.456049554002707,0.26139540303553427,1030.87253437345,0.27406269321441323,0.012667290178878958,,,,,,0.6565797085615389,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-03-31 00:00:00+02:00,1062.3299560546875,-0.0039176912811125465,0.10494952279755584,0.25429136662512497,2.8838651059519456,0.24240775694602723,1032.552533830915,0.25429136662512497,0.011883609679097734,,,,,,0.7752402636342235,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
1988-04-05 00:00:00+02:00,1063.280029296875,0.0008939300360863348,0.06526614702490936,0.2416833432146129,2.8696404322096134,0.2303751661933535,1033.618883889819,0.2416833432146129,0.01130817702125942,,,,,,0.6921403041858264,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,
